U+0021	!
U+002c	,
U+002e	.
U+0030	0
U+0031	1
U+0032	2
U+0033	3
U+0034	4
U+0035	5
U+0036	6
U+0037	7
U+0038	8
U+0039	9
U+003a	:
U+003b	;
U+003f	?
U+0041	A
U+0042	B
U+0043	C
U+0044	D
U+0045	E
U+0046	F
U+0047	G
U+0048	H
U+0049	I
U+004a	J
U+004b	K
U+004c	L
U+004d	M
U+004e	N
U+004f	O
U+0050	P
U+0051	Q
U+0052	R
U+0053	S
U+0054	T
U+0055	U
U+0056	V
U+0057	W
U+0058	X
U+0059	Y
U+005a	Z
U+0061	a
U+0062	b
U+0063	c
U+0064	d
U+0065	e
U+0066	f
U+0067	g
U+0068	h
U+0069	i
U+006a	j
U+006b	k
U+006c	l
U+006d	m
U+006e	n
U+006f	o
U+0070	p
U+0071	q
U+0072	r
U+0073	s
U+0074	t
U+0075	u
U+0076	v
U+0077	w
U+0078	x
U+0079	y
U+007a	z
U+2008a	𠂊
U+200a4	𠂤
U+20b9f	𠮟
U+26951	𦥑
U+2e8c	⺌
U+2e8d	⺍
U+2e95	⺕
U+2e97	⺗
U+2ea1	⺡
U+2ea4	⺤
U+2ea6	⺦
U+2ea8	⺨
U+2ecc	⻌
U+2ecf	⻏
U+2ed6	⻖
U+3001	、
U+3002	。
U+3005	々
U+3006	〆
U+3041	ぁ
U+3042	あ
U+3043	ぃ
U+3044	い
U+3045	ぅ
U+3046	う
U+3047	ぇ
U+3048	え
U+3049	ぉ
U+304a	お
U+304b	か
U+304c	が
U+304d	き
U+304e	ぎ
U+304f	く
U+3050	ぐ
U+3051	け
U+3052	げ
U+3053	こ
U+3054	ご
U+3055	さ
U+3056	ざ
U+3057	し
U+3058	じ
U+3059	す
U+305a	ず
U+305b	せ
U+305c	ぜ
U+305d	そ
U+305e	ぞ
U+305f	た
U+3060	だ
U+3061	ち
U+3062	ぢ
U+3063	っ
U+3064	つ
U+3065	づ
U+3066	て
U+3067	で
U+3068	と
U+3069	ど
U+306a	な
U+306b	に
U+306c	ぬ
U+306d	ね
U+306e	の
U+306f	は
U+3070	ば
U+3071	ぱ
U+3072	ひ
U+3073	び
U+3074	ぴ
U+3075	ふ
U+3076	ぶ
U+3077	ぷ
U+3078	へ
U+3079	べ
U+307a	ぺ
U+307b	ほ
U+307c	ぼ
U+307d	ぽ
U+307e	ま
U+307f	み
U+3080	む
U+3081	め
U+3082	も
U+3083	ゃ
U+3084	や
U+3085	ゅ
U+3086	ゆ
U+3087	ょ
U+3088	よ
U+3089	ら
U+308a	り
U+308b	る
U+308c	れ
U+308d	ろ
U+308e	ゎ
U+308f	わ
U+3090	ゐ
U+3091	ゑ
U+3092	を
U+3093	ん
U+3094	ゔ
U+3095	#N/A
U+3096	#N/A
U+309b	゛
U+309c	゜
U+309d	ゝ
U+309e	ゞ
U+30a1	ァ
U+30a2	ア
U+30a3	ィ
U+30a4	イ
U+30a5	ゥ
U+30a6	ウ
U+30a7	ェ
U+30a8	エ
U+30a9	ォ
U+30aa	オ
U+30ab	カ
U+30ac	ガ
U+30ad	キ
U+30ae	ギ
U+30af	ク
U+30b0	グ
U+30b1	ケ
U+30b2	ゲ
U+30b3	コ
U+30b4	ゴ
U+30b5	サ
U+30b6	ザ
U+30b7	シ
U+30b8	ジ
U+30b9	ス
U+30ba	ズ
U+30bb	セ
U+30bc	ゼ
U+30bd	ソ
U+30be	ゾ
U+30bf	タ
U+30c0	ダ
U+30c1	チ
U+30c2	ヂ
U+30c3	ッ
U+30c4	ツ
U+30c5	ヅ
U+30c6	テ
U+30c7	デ
U+30c8	ト
U+30c9	ド
U+30ca	ナ
U+30cb	ニ
U+30cc	ヌ
U+30cd	ネ
U+30ce	ノ
U+30cf	ハ
U+30d0	バ
U+30d1	パ
U+30d2	ヒ
U+30d3	ビ
U+30d4	ピ
U+30d5	フ
U+30d6	ブ
U+30d7	プ
U+30d8	ヘ
U+30d9	ベ
U+30da	ペ
U+30db	ホ
U+30dc	ボ
U+30dd	ポ
U+30de	マ
U+30df	ミ
U+30e0	ム
U+30e1	メ
U+30e2	モ
U+30e3	ャ
U+30e4	ヤ
U+30e5	ュ
U+30e6	ユ
U+30e7	ョ
U+30e8	ヨ
U+30e9	ラ
U+30ea	リ
U+30eb	ル
U+30ec	レ
U+30ed	ロ
U+30ee	ヮ
U+30ef	ワ
U+30f0	ヰ
U+30f1	ヱ
U+30f2	ヲ
U+30f3	ン
U+30f4	ヴ
U+30f5	ヵ
U+30f6	ヶ
U+30f7	ヷ
U+30f8	ヸ
U+30f9	ヹ
U+30fa	ヺ
U+30fb	・
U+30fc	ー
U+30fd	ヽ
U+30fe	ヾ
U+342c	㐬
U+34c1	㓁
U+4e00	一
U+4e01	丁
U+4e03	七
U+4e07	万
U+4e08	丈
U+4e09	三
U+4e0a	上
U+4e0b	下
U+4e0d	不
U+4e0e	与
U+4e10	丐
U+4e11	丑
且-Kaisho	U+4e14	且
U+4e14	且
U+4e15	丕
U+4e16	世
U+4e17	丗
U+4e18	丘
U+4e19	丙
U+4e1e	丞
U+4e21	両
U+4e26	並
U+4e28	丨
U+4e2a	个
U+4e2d	中
U+4e31	丱
U+4e32	串
U+4e36	丶
U+4e38	丸
U+4e39	丹
U+4e3b	主
主-VtLst	U+4e3b	主
U+4e3c	丼
U+4e3f	丿
U+4e42	乂
U+4e43	乃
U+4e45	久
之-Kaisho	U+4e4b	之
U+4e4b	之
U+4e4d	乍
U+4e4e	乎
U+4e4f	乏
U+4e55	乕
U+4e56	乖
乗-Kaisho	U+4e57	乗
U+4e57	乗
乘-Kaisho	U+4e58	乘
U+4e58	乘
U+4e59	乙
U+4e5d	九
U+4e5e	乞
U+4e5f	也
U+4e62	乢
U+4e71	乱
U+4e73	乳
乾-Kaisho	U+4e7e	乾
U+4e7e	乾
亀-Kaisho	U+4e80	亀
U+4e80	亀
U+4e82	亂
U+4e85	亅
U+4e86	了
U+4e88	予
U+4e89	争
U+4e8a	亊
U+4e8b	事
U+4e8c	二
U+4e8e	于
U+4e91	云
U+4e92	互
U+4e94	五
U+4e95	井
亘-Kaisho	U+4e98	亘
U+4e98	亘
U+4e99	亙
些-HzFst	U+4e9b	些
U+4e9b	些
U+4e9c	亜
U+4e9e	亞
U+4e9f	亟
亠-Kaisho	U+4ea0	亠
U+4ea0	亠
亡-Kaisho	U+4ea1	亡
U+4ea1	亡
亢-Kaisho	U+4ea2	亢
U+4ea2	亢
U+4ea4	交
亥-Kaisho	U+4ea5	亥
U+4ea5	亥
